sub,alpha_ind,sigma_ind_pre
sub1153,0.08766517025000001,0.0414832833875
sub1154,0.2473999663875,0.0534161789
sub1155,0.0645226431375,0.05496159175
sub1156,21.9444635625,0.066358635475
sub1157,0.1888691782375,0.051540197775000005
sub116,0.041327241817500006,0.0275515583375
sub1160,0.2342139881125,0.0570355246625
sub1162,0.188569726625,0.0496401802
sub1163,0.8416028385,0.0546709412
sub1164,0.1413399179875,0.0567133112875
sub1165,0.44369350750000003,0.0491420436625
sub1166,0.622446863625,0.057912983862499996
sub1167,11.856610348750001,0.044271164749999994
sub1168,0.0920151709,0.0490931463
sub1169,0.1868850518625,0.067423261075
sub117,0.2923312885,0.0671846381125
sub1170,0.0880009371625,0.0511812149875
sub1174,0.827721394875,0.05297263218749999
sub1176,0.1674668919875,0.0573450829125
sub1178,0.0795443905375,0.0374227292375
sub1179,0.07443243588750001,0.040007864374999993
sub118,0.02410090524875,0.028270954075
sub1183,0.345163621875,0.0748645765375
sub1184,0.2164735787125,0.057055663099999994
sub1186,0.0599250884875,0.028985582425
sub1187,0.43392519575,0.0429187611625
sub1189,0.2366164652375,0.05228589115
sub119,1.49105212725,0.0643955864125
sub1190,0.1149150738875,0.05372305375
sub1192,0.33577574262500004,0.0772184117125
sub1194,0.258568435875,0.052137119575
sub1196,22.3413276,0.01539151362375
sub1197,0.497780736,0.090627689
sub1198,5.797615592500001,0.1160357700375
sub12,0.1562067495,0.064139456425
sub120,0.0478820032325,0.040974044875
sub1200,0.16051281515,0.051689861125
sub1201,0.024157349515,0.0320732996625
sub1202,0.0329448141225,0.032913180375000003
sub1204,0.9090719405,0.04828230175
sub1207,0.800040655375,0.1062670236125
sub1208,0.10669251368749999,0.0514000825125
sub1209,0.319368906125,0.0794190811875
sub121,0.380485391625,0.0727487437625
sub1210,0.1608969855125,0.0535106893625
sub1214,0.256276012,0.048733593325
sub1215,0.097279519625,0.053400718325
sub1216,0.2478651876,0.0549664373125
sub1218,0.197702466525,0.050924139912500006
sub122,0.06789176966249999,0.0436007248625
sub1220,0.10428991497500001,0.04143871095
sub1221,0.138879945175,0.048171478499999996
sub1224,1.46446625625,0.04542186145
sub1226,0.24023172513750002,0.06839549988749999
sub1227,0.539972360125,0.0870619161375
sub1229,0.1876557184375,0.0510317096375
sub123,0.03419356768875,0.030708802962499997
sub1230,0.12428387884999999,0.04420950805
sub1232,0.290338218375,0.073897946325
sub1234,0.07945870340000001,0.041722057024999995
sub1235,0.14736631331250002,0.059443680962499995
sub1236,17.2917287875,0.191145284875
sub1237,0.1368061570875,0.0642793415375
sub1239,0.0823447967375,0.0413281258875
sub124,0.19145081730000002,0.0499523037
sub1240,0.26127346962500003,0.0742448446125
sub1241,0.13193679586249998,0.053044820475000004
sub1242,0.252286622525,0.0668823515125
sub1244,0.09671269585,0.059093688362499994
sub1245,0.1345462178,0.0354141613625
sub1246,0.1523121042,0.0711533211375
